"X","tempo","sesso","anno","zodiaco","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","cifre","ONUcifre","ONU","giorno","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","gruppo","auto","gandhi","gruppo1","gruppo2","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","corrette","anchor_gandhi","anchor_auto"
1,"2019/02/04 3:12:43 PM CET","Femmina",1969,"Toro","20%","B","Rimasta la stessa","50 anni","3 miliardi","tutte e tre","Più che raddoppiato","C","50 per cento","50%",1,"Si",80,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",25000,"Più di 35 anni",79,"D",25000,79,"Gandhi35","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Gandhi35","auto 20.000"
2,"2019/02/04 8:03:00 PM CET","Femmina",1961,"Sagittario","20%","A","Rimasta la stessa","60 anni","2 miliardi","tutte e tre","Ridotto a meno della metà","C","20 per cento","80%",56,"Si",60,17,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",22000,"Meno di 114 anni",77,NA,NA,NA,NA,"C",22000,77,"Gandhi114","auto 20.000",FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,4,"Gandhi114","auto 20.000"
3,"2019/02/04 9:34:56 PM CET","Maschio",2000,"Ariete","40%","B","Raddoppiata","70 anni","3 miliardi","una","Più che raddoppiato","C","50 per cento","80%",1,"Si",5,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",35000,"Più di 35 anni",50,"D",35000,50,"Gandhi35","auto 20.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,"Gandhi35","auto 20.000"
4,"2019/02/04 9:36:42 PM CET","Maschio",1982,"Bilancia","20%","A","Dimezzata","50 anni","2 miliardi","nessuna","Ridotto a meno della metà","B","20 per cento","50%",9,"No",3,9,NA,NA,NA,NA,"Meno di 100 000 euro",50000,"Più di 35 anni",50,NA,NA,NA,NA,NA,NA,NA,NA,"B",50000,50,"Gandhi35","auto 100.000",FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,5,"Gandhi35","auto 100.000"
5,"2019/02/04 9:38:24 PM CET","Maschio",2000,"Bilancia","40%","C","Raddoppiata","60 anni","3 miliardi","tutte e tre","E' rimasto più o meno lo stesso","C","80 per cento","80%",83,"No",19,21,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",15000,"Meno di 114 anni",94,NA,NA,NA,NA,"C",15000,94,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,"Gandhi114","auto 20.000"
6,"2019/02/04 9:41:45 PM CET","Maschio",2000,"Acquario","20%","C","Raddoppiata","50 anni","3 miliardi","una","Ridotto a meno della metà","B","20 per cento","20%",36,"No",30,5,"Meno di 100 000 euro",NA,"Meno di 114 anni",79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,79,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,"Gandhi114","auto 100.000"
7,"2019/02/04 9:48:23 PM CET","Maschio",2000,"Cancro","20%","C","Raddoppiata","60 anni","3 miliardi","nessuna","E' rimasto più o meno lo stesso","B","50 per cento","80%",10,"Si",11,12,NA,NA,NA,NA,"Più di 100 000 euro",NA,"Meno di 35 anni",25,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,25,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,2,"Gandhi35","auto 100.000"
8,"2019/02/04 10:29:57 PM CET","Maschio",2000,"Sagittario","60%","B","Raddoppiata","60 anni","2 miliardi","tutte e tre","Ridotto a meno della metà","B","50 per cento","50%",82,"No",22,7,"Meno di 100 000 euro",60000,"Meno di 114 anni",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",60000,89,"Gandhi114","auto 100.000",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,"Gandhi114","auto 100.000"
9,"2019/02/04 10:30:11 PM CET","Maschio",2000,"Sagittario","60%","B","Raddoppiata","60 anni","2 miliardi","tutte e tre","Ridotto a meno della metà","B","50 per cento","50%",82,"No",22,7,"Meno di 100 000 euro",60000,"Meno di 114 anni",89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",60000,89,"Gandhi114","auto 100.000",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,3,"Gandhi114","auto 100.000"
10,"2019/02/05 7:16:35 AM CET","Femmina",2002,"Sagittario","60%","B","Raddoppiata","70 anni","2 miliardi","tutte e tre","Più che raddoppiato","B","80 per cento","50%",4,"Si",30,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",40000,"Più di 35 anni",65,"D",40000,65,"Gandhi35","auto 20.000",TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,4,"Gandhi35","auto 20.000"
11,"2019/02/05 7:38:26 AM CET","Femmina",2002,"Bilancia","40%","C","Raddoppiata","60 anni","4 miliardi","una","Ridotto a meno della metà","A","80 per cento","50%",62,"No",30,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",50000,"Più di 35 anni",45,"D",50000,45,"Gandhi35","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,3,"Gandhi35","auto 20.000"
12,"2019/02/05 7:39:27 AM CET","Femmina",2002,"Vergine","20%","C","Raddoppiata","70 anni","3 miliardi","tutte e tre","Ridotto a meno della metà","B","50 per cento","80%",87,"No",50,12,NA,NA,NA,NA,"Meno di 100 000 euro",80000,"Meno di 35 anni",30,NA,NA,NA,NA,NA,NA,NA,NA,"B",80000,30,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,3,"Gandhi35","auto 100.000"
13,"2019/02/05 7:44:02 AM CET","Femmina",2003,"Cancro","20%","C","Raddoppiata","50 anni","3 miliardi","tutte e tre","E' rimasto più o meno lo stesso","C","50 per cento","50%",80,"No",45,7,"Meno di 100 000 euro",60000,"Meno di 114 anni",98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",60000,98,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,"Gandhi114","auto 100.000"
14,"2019/02/05 8:17:44 AM CET","Maschio",2000,"Sagittario","40%","B","Dimezzata","70 anni","4 miliardi","una","E' rimasto più o meno lo stesso","B","80 per cento","80%",64,"No",50,13,NA,NA,NA,NA,"Meno di 100 000 euro",20000,"Più di 35 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,"B",20000,78,"Gandhi35","auto 100.000",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,"Gandhi35","auto 100.000"
15,"2019/02/05 8:17:49 AM CET","Maschio",2000,"Sagittario","40%","B","Dimezzata","70 anni","4 miliardi","una","E' rimasto più o meno lo stesso","B","80 per cento","80%",64,"No",50,13,NA,NA,NA,NA,"Meno di 100 000 euro",20000,"Più di 35 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,"B",20000,78,"Gandhi35","auto 100.000",FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,4,"Gandhi35","auto 100.000"
16,"2019/02/05 8:18:28 AM CET","Maschio",2000,"Gemelli","20%","C","Rimasta la stessa","60 anni","3 miliardi","tutte e tre","Ridotto a meno della metà","C","50 per cento","50%",86,"No",45,2,"Meno di 100 000 euro",NA,"Meno di 114 anni",97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,97,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1,"Gandhi114","auto 100.000"
17,"2019/02/05 8:19:34 AM CET","Maschio",2000,"Vergine","40%","A","Raddoppiata","50 anni","4 miliardi","tutte e tre","Più che raddoppiato","B","20 per cento","20%",92,"No",1,17,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",30000,"Meno di 114 anni",70,NA,NA,NA,NA,"C",30000,70,"Gandhi114","auto 20.000",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"Gandhi114","auto 20.000"
18,"2019/02/05 8:20:20 AM CET","Maschio",2000,"Ariete","40%","A","Dimezzata","70 anni","4 miliardi","tutte e tre","Ridotto a meno della metà","B","80 per cento","80%",84,"No",0,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",NA,"Più di 35 anni",64,"D",NA,64,"Gandhi35","auto 20.000",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,6,"Gandhi35","auto 20.000"
19,"2019/02/05 8:20:57 AM CET","Maschio",1972,"Pesci","40%","C","Rimasta la stessa","60 anni","4 miliardi","tutte e tre","Ridotto a meno della metà","A","50 per cento","50%",67,"Si",9,1,"Più di 100 000 euro",866666666,"Meno di 114 anni",45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",NA,45,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,2,"Gandhi114","auto 100.000"
20,"2019/02/05 8:21:11 AM CET","Maschio",2000,"Pesci","40%","C","Raddoppiata","70 anni","3 miliardi","tutte e tre","E' rimasto più o meno lo stesso","B","80 per cento","50%",95,"No",43,12,NA,NA,NA,NA,"Meno di 100 000 euro",70000,"Più di 35 anni",79,NA,NA,NA,NA,NA,NA,NA,NA,"B",70000,79,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Gandhi35","auto 100.000"
21,"2019/02/05 8:21:11 AM CET","Maschio",1999,"Toro","20%","C","Raddoppiata","70 anni","3 miliardi","tutte e tre","Più che raddoppiato","C","50 per cento","50%",18,"No",20,23,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",25000,"Meno di 114 anni",79,NA,NA,NA,NA,"C",25000,79,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,"Gandhi114","auto 20.000"
23,"2019/02/05 8:21:20 AM CET","Maschio",2000,"Pesci","40%","C","Raddoppiata","70 anni","3 miliardi","tutte e tre","E' rimasto più o meno lo stesso","B","80 per cento","50%",95,"No",43,12,NA,NA,NA,NA,"Meno di 100 000 euro",70000,"Più di 35 anni",79,NA,NA,NA,NA,NA,NA,NA,NA,"B",70000,79,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,"Gandhi35","auto 100.000"
24,"2019/02/05 8:21:21 AM CET","Maschio",2000,"Capricorno","20%","C","Rimasta la stessa","60 anni","4 miliardi","tutte e tre","E' rimasto più o meno lo stesso","C","20 per cento","80%",2,"Si",40,16,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",80000,"Meno di 114 anni",81,NA,NA,NA,NA,"C",80000,81,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,1,"Gandhi114","auto 20.000"
25,"2019/02/05 8:21:24 AM CET","Maschio",2000,"Vergine","40%","C","Rimasta la stessa","70 anni","3 miliardi","tutte e tre","Ridotto a meno della metà","B","20 per cento","50%",6,"Si",10,3,"Meno di 100 000 euro",40000,"Meno di 114 anni",78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",40000,78,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,2,"Gandhi114","auto 100.000"
