"","tempo","sesso","anno","zodiaco","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","cifre","ONUcifre","ONU","giorno","A1","A2","A3","A4","B1","B2","B3","B4","C1","C2","C3","C4","D1","D2","D3","D4","gruppo","auto","gandhi","gruppo1","gruppo2","G1","G2","G3","G4","G5","G6","G7","G8","G9","G10","corrette","anchor_gandhi","anchor_auto"
"1","2020/01/26 8:10:23 PM CET","Femmina","1992","Toro","C","80%","70 anni","7 anni","50%","A","Rimasta la stessa",3.5,"Ridotto a meno della metà","50%",3,"No",10,4,"Meno di 100 000 euro",23000,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80,"A",23000,80,"Gandhi114","auto 100.000",FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,4,"Gandhi114","auto 100.000"
"2","2020/01/26 8:47:14 PM CET","Femmina","2001","Toro","A","60%","60 anni","5 anni","80%","C","Dimezzata",2.5,"Più che raddoppiato","80%",31,"Si",90,21,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",30000,"Meno di 114 anni",80,NA,NA,NA,NA,"C",30000,80,"Gandhi114","auto 20.000",TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,5,"Gandhi114","auto 20.000"
"3","2020/01/26 10:47:22 PM CET","Maschio","1996","Vergine","C","60%","60 anni","3 anni","50%","A","Raddoppiata",2.5,"Ridotto a meno della metà","50%",20,"Si",80,13,NA,NA,NA,NA,"Meno di 100 000 euro",25000,"Più di 35 anni",58,NA,NA,NA,NA,NA,NA,NA,NA,"B",25000,58,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,2,"Gandhi35","auto 100.000"
"4","2020/01/27 7:50:14 AM CET","Femmina","1960","Leone","A","80%","50 anni","3 anni","20%","B","Rimasta la stessa",4.5,"Più che raddoppiato","20%",3,"Si",4,4,"Più di 100 000 euro",3,"Più di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"A",NA,5,"Gandhi114","auto 100.000",TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,3,"Gandhi114","auto 100.000"
"6","2020/01/27 10:09:25 AM CET","Maschio","2004","Bilancia","C","60%","60 anni","5 anni","20%","C","Raddoppiata",2.5,"Più che raddoppiato","80%",71,"No",0,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",NA,"Meno di 35 anni",10,"D",NA,10,"Gandhi35","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,2,"Gandhi35","auto 20.000"
"7","2020/01/27 10:10:40 AM CET","Femmina","1972","Gemelli","C","40%","60 anni","5 anni","20%","B","Rimasta la stessa",2.5,"E' rimasto più o meno lo stesso","50%",9,"No",23,8,NA,NA,NA,NA,"Meno di 100 000 euro",20,"Più di 35 anni",50,NA,NA,NA,NA,NA,NA,NA,NA,"B",NA,50,"Gandhi35","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,2,"Gandhi35","auto 100.000"
"8","2020/01/27 10:23:23 AM CET","Femmina","1967","Acquario","B","60%","50 anni","5 anni","50%","A","Raddoppiata",2.5,"Più che raddoppiato","50%",37,"Si",10,2,"Meno di 100 000 euro",40,"Meno di 114 anni",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,"A",NA,40,"Gandhi114","auto 100.000",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,1,"Gandhi114","auto 100.000"
"9","2020/01/27 10:23:34 AM CET","Femmina","1977","Bilancia","C","80%","70 anni","3 anni","20%","C","Dimezzata",2.5,"Più che raddoppiato","80%",33,"No",35,15,NA,NA,NA,NA,"Meno di 100 000 euro",40000,"Più di 35 anni",79,NA,NA,NA,NA,NA,NA,NA,NA,"B",40000,79,"Gandhi35","auto 100.000",FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,5,"Gandhi35","auto 100.000"
"10","2020/01/27 10:26:34 AM CET","Maschio","1965","Leone","B","60%","50 anni","3 anni","50%","B","Dimezzata",3.5,"Ridotto a meno della metà","50%",82,"No",20,18,NA,NA,NA,NA,NA,NA,NA,NA,"Meno di 20 000 euro",15000,"Meno di 114 anni",70,NA,NA,NA,NA,"C",15000,70,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3,"Gandhi114","auto 20.000"
"11","2020/01/27 10:47:55 AM CET","Maschio","2002","Acquario","C","60%","60 anni","3 anni","20%","B","Rimasta la stessa",2.5,"Ridotto a meno della metà","50%",17,"Si",25,22,NA,NA,NA,NA,NA,NA,NA,NA,"Più di 20 000 euro",27000,"Meno di 114 anni",76,NA,NA,NA,NA,"C",27000,76,"Gandhi114","auto 20.000",FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3,"Gandhi114","auto 20.000"
